Technology,Peak average maximum upload speed,Peak average maximum download speed,24 hour Latency,24 hour packet loss
ADSL,0.860256,3.222689334,32.9712239,0.0005
ADSL,0.863008,6.819853419,28.00778404,0.0001
ADSL,1.019392,12.950048,18.57935424,0.0005
ADSL,0.646272,5.825417548,19.60950904,0.001
ADSL,0.373248,1.398028903,23.6883058,0.041
ADSL,1.092016,16.65564981,9.45658213,0.0033
ADSL,1.009,19.7581936,20.7225723,0.0009
ADSL,0.783408,2.486984,39.41643733,0.0043
ADSL,1.068232,9.76425471,18.01020937,0.0003
ADSL,0.861616,12.33814529,42.77211732,0.0008
ADSL,0.86156,10.32091911,24.10378673,0.0021
ADSL,0.933992,11.99452026,7.12263549,0.0003
ADSL,0.968512,7.652010581,30.72140915,0.0007
ADSL,0.727808,3.922501162,32.77531511,0.0003
ADSL,0.88436,3.105332645,29.00626068,0.0017
ADSL,0.643072,2.528936516,35.36010046,0.0003
ADSL,0.375528,1.987064286,48.09938829,0.0014
ADSL,1.058688,19.48229264,11.71401245,0.0012
ADSL,0.53568,2.072345032,34.29874074,0.0061
ADSL,0.678544,12.142656,16.39390476,0.0004
ADSL,1.085248,18.69509673,14.0122471,0.0004
ADSL,1.01952,17.84178323,11.1208011,0
ADSL,0.372272,1.709716387,33.46144427,0.0011
ADSL,0.851176,14.989698,31.6338915,0.0008
ADSL,0.941176,8.264498581,16.1417591,0.0003
ADSL,1.009152,16.96028427,11.03101958,0.0004
ADSL,0.891368,15.60002245,15.46794686,0.0052
ADSL,0.98348,15.97614374,14.03000149,0.002
ADSL,0.638208,2.052124645,23.79204692,0.0006
ADSL,0.504576,14.03921629,23.13700381,0.0014
ADSL,0.357368,4.660029162,39.79762535,0.0002
ADSL,0.943488,14.963356,37.85424167,0.0013
ADSL,1.02628,4.227145548,11.27463056,0.0008
ADSL,0.81792,16.24420439,34.08861801,0.0025
ADSL,0.748776,6.582331871,31.56314773,0.0002
ADSL,0.825984,9.560523097,32.17255907,0.0008
ADSL,0.649392,1.780959742,22.61474756,0.0007
ADSL,0.651368,4.874480516,14.30196575,0.0002
ADSL,0.883304,1.84591329,27.03585813,0.0002
ADSL,0.960312,13.86630606,24.27506638,0.0021
ADSL,0.950344,14.93881867,27.11620458,0.0001
ADSL,0.886808,10.12000929,40.13966667,0.0006
ADSL,0.759208,15.77572645,40.24781344,0.0002
ADSL,0.892336,5.269477419,42.07050315,0.0007
ADSL,0.66076,4.888343226,17.47042797,0.0044
ADSL,0.731408,4.059230194,27.67216164,0.0009
ADSL,0.816536,10.66072619,15.8933425,0.0006
ADSL,0.899,9.306586322,27.83176536,0.0001
ADSL,0.96024,6.072941066,7.50681895,0.0002
ADSL,0.452816,2.735307613,42.23251634,0.0034
ADSL,0.741376,8.928978666,27.18930149,0.0031
ADSL,0.71944,15.10623174,30.57264117,0.0006
Cable,6.029608,111.7304363,18.77157528,0.002
Cable,16.95532,384.1670762,14.54535036,0.0001
Cable,36.650608,339.672119,15.50669369,0.0005
Cable,20.87092,219.4549306,18.18705793,0.0015
Cable,12.367152,218.4095564,19.16620604,0.0005
Cable,21.016376,219.1108359,17.55492978,0.0007
Cable,36.977,383.7444502,19.54894343,0.0004
Cable,21.084912,219.4276655,19.46913636,0.0005
Cable,21.083992,218.8019012,15.21875172,0.0003
Cable,10.035536,164.5351507,21.30814847,0.0026
Cable,3.021264,54.93415484,18.04832875,0
Cable,36.590688,383.2488617,19.02798217,0.0003
Cable,6.028048,111.5878934,14.9625114,0.0001
Cable,5.029768,76.81779819,15.18154595,0.0015
Cable,10.01616,163.8012286,20.01141103,0.0005
Cable,36.656,367.9713229,16.85465833,0.0017
Cable,36.647648,223.7521271,14.70411738,0.0014
Cable,6.102216,106.2168147,16.62582256,0.0018
Cable,20.88228,219.637305,19.14790509,0.0008
Cable,36.606408,371.0719864,18.30689008,0.0075
Cable,21.0142,217.9691478,20.07303509,0.0001
Cable,20.81792,219.86832,15.74036301,0.0015
Cable,36.985672,391.399145,17.43709465,0.001
Cable,36.93992,403.0441925,17.01597394,0.0003
Cable,36.98444,383.0117773,15.04677241,0.0003
Cable,6.030776,111.6709636,19.22414637,0.0002
Cable,21.061856,219.4280419,16.69597586,0.0001
Cable,3.048904,54.98803923,14.02551511,0
Cable,10.035304,164.6408668,18.97907956,0.0001
Cable,12.118416,207.3295624,16.66421274,0.0001
Cable,36.944152,176.9358452,14.94636951,0.0058
Cable,6.031224,111.1300532,16.48309454,0.0015
Cable,20.938992,184.0195831,20.87042373,0
Cable,10.034656,164.6880439,15.31807005,0
Cable,20.913904,217.1729203,15.51706607,0.0003
Cable,21.1454,219.38136,19.00301053,0
Cable,36.629296,380.8206963,17.73795297,0.0007
Cable,21.010392,219.453912,14.96788732,0
Cable,20.940648,219.3891166,16.38703168,0.0005
Cable,5.036504,76.81402374,15.22799172,0.001
Cable,6.037496,111.6288769,17.98408791,0
Cable,21.027536,219.2362943,17.44757092,0.0014
Cable,12.069152,208.1151058,16.28026817,0.0016
Cable,21.002232,219.6623384,21.46950891,0.0001
Cable,20.944904,216.7754164,20.29588423,0.0025
Cable,5.03208,76.8030769,16.92356319,0.0002
Cable,6.032488,111.6188175,15.28257725,0.0018
Cable,6.117384,109.5502725,16.68340878,0.0002
Cable,6.027112,111.4093529,19.04788976,0.0019
Cable,21.021008,219.0561455,17.77813984,0.0006
Cable,36.944128,376.5103643,16.25611691,0.0004
Cable,20.780024,219.872199,14.84229696,0
Cable,36.834544,372.986505,15.8428544,0.0003
Cable,21.035472,219.4308594,19.31586813,0.0012
Cable,36.98368,383.6580947,16.80489167,0.0009
Cable,21.077624,214.232508,17.44925806,0.0011
Cable,36.929312,381.6324312,19.77087345,0.0002
Cable,6.015168,111.7876568,16.19965789,0.001
Cable,20.797704,220.2230359,15.12233608,0.0004
Cable,36.968928,383.9013125,16.07388583,0.0004
Cable,4.996376,54.89160619,20.5790575,0.0001
Cable,6.035216,111.6486939,18.10156964,0.0007
Cable,4.899168,69.775236,14.77056198,0.0003
Cable,6.043688,111.8901597,18.19269517,0.0002
Cable,36.957816,383.8631146,18.84820236,0.0003
Cable,9.992128,164.7197422,16.88014747,0.0015
Cable,36.691824,382.3187948,17.18032051,0.0008
Cable,20.81724,202.5681094,21.66505153,0.0015
Cable,5.026416,73.48144207,16.09002217,0.0008
Cable,6.034056,79.91583667,19.66722202,0.0004
FTTC,18.546928,73.40335393,12.25821658,0.0001
FTTC,20.8088,73.54007138,3.948,0.0156
FTTC,1.059176,14.58540723,9.40421429,0.0008
FTTC,20.8166,73.7685089,6.89642366,0.0001
FTTC,9.128632,49.915378,14.30368304,0.0002
FTTC,9.310424,32.52447329,7.29718182,0.007
FTTC,18.584328,65.19162658,5.37405075,0.001
FTTC,18.511704,65.37933677,15.28890797,0.0005
FTTC,9.307656,35.38461021,10.97071241,0
FTTC,18.727328,74.58999341,7.31601575,0.0001
